INDID,CLASSID,CLASSDESC
76,A,Portion of device code
76,B,Portion of device code
76,C,Portion of device code
76,D,Portion of device code
76,E,Portion of device code
76,F,Portion of device code
76,G,Portion of device code
76,H,Portion of device code
76,I,Portion of device code
76,J,Portion of device code
76,K,Portion of device code
76,L,Portion of device code
76,M,Portion of device code
76,N,Portion of device code
76,O,Portion of device code
76,P,Portion of device code
76,Q,Portion of device code
76,R,Portion of device code
76,S,Portion of device code
76,T,Portion of device code
76,U,Portion of device code
76,V,Portion of device code
76,W,Portion of device code
76,X,Portion of device code
76,Y,Portion of device code
76,Z,Portion of device code
