INDID,CLASSID,CLASSDESC
65,A,Memory Adjuvant
65,B,Mucolytic
65,C,Nutrient/Tonic
65,D,Oxytocic
65,E,Pediculicide
65,F,Water (Pharm Aid)
65,G,Pigmentation Agent
65,H,Plasma Vol Extend
65,I,Plasminogen Activator
65,J,Progestin
65,K,Prostaglandin
65,L,Protectant
65,M,Prothyrotropin
65,N,Radioactive Agent
65,O,Radioactive Agent - Part II
65,P,Regulator
65,Q,Relaxant
65,R,Replenisher
65,S,Rubefacient
65,T,Scabicide
65,U,Sclerosing Agent
65,V,Sedative
65,W,Serotonin Inhib
65,X,Spermaticide
65,Y,Positron Emission Tomography Radioactive Agent
65,Z,Smoking Cessation
