INDID,CLASSID,CLASSDESC
20,1,"Berry, Fruit Leathers"
20,2,Citrus Fruit Leathers
20,3,Core Fruit Leathers
20,A,Berries
20,B,"Berries, Dried/Paste"
20,C,Berry Jam/Jelly/Candied
20,D,Berry Juices or Concentrates
20,E,Berry Topping/Syrup
20,F,Berry Purees
20,G,Citrus Fruit
20,H,"Citrus Fruit,Dried/Paste"
20,J,Citrus Fruit Jam/Jelly/Candied
20,K,Citrus Fruit Juices or Concentrates
20,L,Citrus Fruit Toppings And Syrups
20,M,Citrus Fruit Purees
20,N,Core Fruit
20,Q,"Core Fruit, Dried/Paste"
20,R,Core Fruit Jam/Jelly Candied
20,S,Core Fruit Juices or Concentrates
20,T,Core Fruit Topping/Syrup
20,U,Core Fruit Purees
