INDID,CLASSID,CLASSDESC
79,A,Portion of device code
79,B,Portion of device code
79,C,Portion of device code
79,D,Portion of device code
79,E,Portion of device code
79,F,Portion of device code
79,G,Portion of device code
79,H,Portion of device code
79,I,Portion of device code
79,J,Portion of device code
79,K,Portion of device code
79,L,Portion of device code
79,M,Portion of device code
79,N,Portion of device code
79,O,Portion of device code
79,P,Portion of device code
79,Q,Portion of device code
79,R,Portion of device code
79,S,Portion of device code
79,T,Portion of device code
79,U,Portion of device code
79,V,Portion of device code
79,W,Portion of device code
79,X,Portion of device code
79,Y,Portion of device code
79,Z,Portion of device code
