INDID,CLASSID,CLASSDESC
63,A,Bone Calcium Reg
63,B,Bronchodilator
63,C,Carbon Dioxide Absorb
63,D,Carbonic Anhydrase Inhib
63,E,Cardiac Depress
63,F,Cardiotonic
63,G,Catecholamine Potentiator
63,H,Cathartic
63,I,Caustic
63,J,Chelating Agent
63,K,Chemotic
63,L,Phosphate Binder
63,M,Choleretic
63,N,Cholinergic
63,O,Antimigraine Agent
63,P,Cholinesterase React
63,R,Dental Caries Prophyl
63,S,Dental Protect
63,T,Dental Restor Agent
63,U,Dentin Desensitizer
63,V,Depigmentor
63,W,Detergent
63,X,Diag Aid (Drugs)
