INDID,CLASSID,CLASSDESC
3,A,Bread/Rolls
3,B,Prep Dry Mix(Bread Etc) W/Milk Or Egg
3,C,Prep Dry Mix(Bread Etc) Wo/Milk Or Egg
3,D,Bread Heat/Serve
3,E,Bread Doughs
3,F,Crackers
3,G,Filled Crackers
3,H,"Plain Cookies,Biscuits and Wafers"
3,J,"Filled/Iced Cookies,Biscuits and Wafers"
3,K,"Prep Dry Cookie,Biscuit,Wafer Mix W/Milk Or Eggs"
3,L,"Prep Dry Cookie,Biscuit,Wafer Mix Wo/Milk Or Eggs"
3,M,"Cookie,Biscuit and Wafer Doughs"
3,N,Sweet Goods Custard/Cream Fill
3,P,Prep Dry Sweet Goods Mix W/Cust-Crm Fill
3,Q,"Sweet Goods,Dough&Batter, Cust-Crm Fill"
3,R,Sweet Goods Not Cust/Cream Fill
3,S,Prep Dry Sweet Goods Mix Wo/Cust-Crm Fill
3,T,"Sweet Goods,Dough&Batter Wo/Cust-Crm Fill"
3,U,Icings And Icing Mixes
3,Y,"Other Bakery Products, N.E.C."
