INDID,CLASSID,CLASSDESC
24,A,Bean/Pea/Corn
24,B,Bean/Pea/Corn Dried/Paste
24,C,Bean/Pea/Corn W/Sauce
24,D,"Beans-Peas-Corn,Juice/Drink"
24,E,"Sprouts from Seeds,Beans or Peas"
24,F,Fruit (Veg)
24,G,Fruit (Veg) Breaded
24,H,Fruit (Veg) Dried/Paste
24,J,Fruit (Veg) Juice
24,K,Fruit (Veg) Sauce
24,L,Beans/Peas/Corn (Microgreens/Microleaf)
24,M,Fruits (Veg) (Microgreens/Microleaf)
24,N,Leaf/Stem Veg (Microgreens/Microleaf)
24,T,Leaf / Stem Veg
24,U,Leaf/Stem Veg Dried/Paste
24,V,Leaf/Stem Veg W Sauce
24,W,"Leaf and Stem Vegetables,Juice/Drink"
