INDID,CLASSID,CLASSDESC
21,1,Mixed Fruit Leathers
21,2,Pit Fruit Leathers
21,A,Mixed Fruit
21,B,"Mixed Fruit, Dried/Paste"
21,C,Mixed Fruit Jam/Jelly/Candied
21,D,Mixed Fruit Juices or Concentrates
21,E,Mixed Fruit Topping/Syrup
21,F,Mixed Fruit Purees
21,G,Pit Fruit
21,H,Pit Fruit Dried/Paste
21,I,Pit Fruit Purees
21,J,Pit Fruit Jam/Jelly/Candy
21,K,Pit Fruit Juices or Concentrates
21,L,Pit Fruit Topping/Syrup
21,M,Imit Fruit
21,N,Imit Fruit Flav Jam/Jelly
21,Q,Imit Fruit Top/Syrup
21,R,Subtropical/Tropical Fruit Purees
21,S,Sub/Tropical Fruit
21,T,Sub/Tropical Fruit Dried/Paste
21,U,Sub/Tropical Fruit Jam/Jelly/Candied/Butter/Spread
21,V,Sub/Trop Fruit Juice Conc./Milk/Creme/Nectar/Drink
21,W,Sub/Tropical Fruit Top/Syrup
21,X,Subtropical/Tropical Fruit Pulp
