INDID,CLASSID,CLASSDESC
25,E,Mix Vegetables
25,F,"Mix Vegetables, Dried/Paste"
25,G,"Mix Vegetables,Juice/Drink"
25,H,Mix Vegetables With Sauce
25,I,Mix Vegetables (Microgreens/Microleaf)
25,J,Root/Tuber Vegetables
25,K,"Root/Tuber Vegetables, Breaded"
25,L,Root/Tuber Veg Dried/Paste
25,M,"Root/Tuber Vegetables,Juice/Drink"
25,N,Root/Tuber Vegetables With Sauce
25,P,"Fungi;Whole (button) (eg,Mushrooms,Truffles,etc)"
25,Q,"Fungi;Pieces & Stems,Sliced(eg,Mushroom,Truffle)"
25,R,"Fungi;Broken or Kibbled (eg,Mushroom,Truffle,etc)"
25,S,"Fungi Products,N.E.C."
25,T,Root/Tuber Veg (Microgreens/Microleaf)
25,Y,"Vegetable & Veg Prod,N.E.C."
