INDID,CLASSID,CLASSDESC
57,A,Antitoxins and Antivenins
57,B,Immunization Toxoids
57,C,Viral Vaccines
57,D,"Blood & Blood Components, single donor & pheresis"
57,E,In-Vivo Diagnostic Products
57,G,Allergenic Products
57,H,Bacterial Vaccines/Antigens
57,I,Multiple Vaccine/Multiple Antigen Preparations
57,J,Human Musculoskeletal Tissue
57,K,Human Reproductive Tissue
57,L,Human Ocular Tissue
57,M,Human Hematopoietic Cells
57,N,Human Cell and Gene Therapies
57,P,"Human Tissues, n.e.c."
57,Q,Human Skin
57,R,Human Vascular Tissue
57,S,Human Cardiac Tissue
57,T,Human Dura Mater
57,U,Blood Derivatives
57,V,In-Vitro Diagnostic Products
57,W,Immunomodulators
57,Y,"In-Vivo and In-Vitro Diagnostic Products, N.E.C."
