INDID,CLASSID,CLASSDESC
75,A,Portion of device code
75,B,Portion of device code
75,C,Portion of device code
75,D,Portion of device code
75,E,Portion of device code
75,F,Portion of device code
75,G,Portion of device code
75,H,Portion of device code
75,I,Portion of device code
75,J,Portion of device code
75,K,Portion of device code
75,L,Portion of device code
75,M,Portion of device code
75,N,Portion of device code
75,O,Portion of device code
75,P,Portion of device code
75,Q,Portion of device code
75,R,Portion of device code
75,S,Portion of device code
75,T,Portion of device code
75,U,Portion of device code
75,V,Portion of device code
75,W,Portion of device code
75,X,Portion of device code
75,Y,Portion of device code
75,Z,Portion of device code
