INDID,CLASSID,CLASSDESC
98,A,Cigarette Tobacco
98,B,Cigarettes
98,C,Smokeless Tobacco
98,D,Roll Your Own Tobacco
98,E,"Cigarette Component, Part or Accessory"
98,F,"Roll-Your-Own Tobacco Component, Part or Accessory"
98,G,Cigar
98,H,Cigar Component or Part
98,I,Pipe Tobacco
98,J,Waterpipe Tobacco
98,K,Waterpipe Tobacco Component or Part
98,L,Electronic Nicotine Delivery System
98,M,Electronic Nicotine Delivery System Component/Part
98,N,Nicotine Delivery Product
98,O,"Pipe, Pipe Component or Part"
