INDID,CLASSID,CLASSDESC
73,A,Portion of device code
73,B,Portion of device code
73,C,Portion of device code
73,D,Portion of device code
73,E,Portion of device code
73,F,Portion of device code
73,G,Portion of device code
73,H,Portion of device code
73,I,Portion of device code
73,J,Portion of device code
73,K,Portion of device code
73,L,Portion of device code
73,M,Portion of device code
73,N,Portion of device code
73,O,Portion of device code
73,P,Portion of device code
73,Q,Portion of device code
73,R,Portion of device code
73,S,Portion of device code
73,T,Portion of device code
73,U,Portion of device code
73,V,Portion of device code
73,W,Portion of device code
73,X,Portion of device code
73,Y,Portion of device code
73,Z,Portion of device code
