INDID,CLASSID,CLASSDESC
74,A,Portion of device code
74,B,Portion of device code
74,C,Portion of device code
74,D,Portion of device code
74,E,Portion of device code
74,F,Portion of device code
74,G,Portion of device code
74,H,Portion of device code
74,I,Portion of device code
74,J,Portion of device code
74,K,Portion of device code
74,L,Portion of device code
74,M,Portion of device code
74,N,Portion of device code
74,O,Portion of device code
74,P,Portion of device code
74,Q,Portion of device code
74,R,Portion of device code
74,S,Portion of device code
74,T,Portion of device code
74,U,Portion of device code
74,V,Portion of device code
74,W,Portion of device code
74,X,Portion of device code
74,Y,Portion of device code
74,Z,Portion of device code
