INDID,CLASSID,CLASSDESC
42,A,Whole Edible Insects (adults and immature stages)
42,B,Milled Edible Insect Products
42,C,Edible Insect Bars
42,D,Edible Insect Bakery Products
42,E,Edible Insect Candy With Chocolate
42,F,Edible Insect Candy Without Chocolate
42,G,Edible Insect Capsules
42,H,Edible Insect Granola or Trail Mix
42,I,Edible Insect Jerky
42,J,Edible Insect  Ice Cream and Related Products
42,K,Edible Insect Oils
42,L,Edible Insect Smoothies
42,M,Edible Insect Soups
42,N,Edible Insect Spreads And Pastes
42,O,Edible Insect Beverages
42,P,Edible Insect Protein: Simulated Meats and Tofu
42,Q,Edible Insect Salts and Spices
42,R,Edible Insect Products N.E.C.
