INDID,CLASSID,CLASSDESC
80,0,Portion of device code
80,B,Portion of device code
80,C,Portion of device code
80,D,Portion of device code
80,E,Portion of device code
80,F,Portion of device code
80,G,Portion of device code
80,H,Portion of device code
80,I,Portion of device code
80,J,Portion of device code
80,K,Portion of device code
80,L,Portion of device code
80,M,Portion of device code
80,N,Portion of device code
80,O,Portion of device code
80,P,Portion of device code
80,Q,Portion of device code
