INDID,CLASSID,CLASSDESC
66,A,Spreading Agent
66,B,Stimulant
66,C,Stool Soften
66,D,"Sulfide, Source"
66,E,Suppl Iodine
66,F,Suppressant
66,G,Surg/Prosth Aid
66,H,Sweetener
66,I,Synergist
66,J,Thyroid Hormone
66,K,Thyroid Inhib
66,L,Thyromimetic
66,M,Tranquilizer
66,N,Tranquilizer (Anti-Psychotic) - Part II
66,O,Hematopoietic Agents
66,P,Ultraviolet Screen/Sunscreen
66,Q,Uricosuric
66,R,Vasoconstrictor
66,S,Vasodilator
66,T,Xanthine Oxidase Inhib
66,U,Nat Body Part (Invivo Only)
66,V,"Patent Medicines, Etc"
66,W,Immunomodulator
66,Y,Exhibit Other Drug Related Item
