INDID,CLASSID,CLASSDESC
45,A,Anticaking&Freeflow Agents
45,B,Antimicrobial Agents
45,C,Antioxidants
45,D,Color Adjuncts
45,E,Curing & Pickling Agents
45,F,Dough Strengtheners
45,G,Drying Agents
45,H,Emulsifiers & Emulsifier Salts
45,I,Enzymes
45,J,Firming Agents
45,K,Flavor Enhancers
45,L,Flavoring Agents & Adjuvants
45,M,Flour Treating Agents
45,N,Formulation Aids
45,P,Fumigants
45,Q,Humectants
45,R,Leavening Agents
45,S,Lubricants & Release Agents
45,T,Non-Nutritive Sweetners
45,V,Nutritive Sweetners
45,W,Oxidizing & Reducing Agents
45,X,Ph Control Agents
